;v0.3.11e1_exEcai-3ag_ECAI_Ligne_3All
Average of nb of solve for extended hyp (min) ;1.3333333333333333;
Average of nb of solve for extended hyp (max) ;1.3333333333333333;
Average of total size of solve for extended hyp (avg) ;16.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;16.0;
Average of total size of solve for extended hyp (max) ;16.0;
Average of max size of solve for extended hyp (avg) ;12.333333333333334;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;12.333333333333334;
Average of max size of solve for extended hyp (max) ;12.333333333333334;
Average of min size of solve for extended hyp (avg) ;12.333333333333334;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.333333333333334;
Average of min size of solve for extended hyp (max) ;12.333333333333334;
Standard deviation of nb of solve for extended hyp (avg) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (max) ;0.4714045207910317;
Standard deviation of total size of solve for extended hyp (avg) ;4.320493798938574;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;4.320493798938574;
Standard deviation of total size of solve for extended hyp (max) ;4.320493798938574;
Standard deviation of max size of solve for extended hyp (avg) ;1.247219128924647;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;1.247219128924647;
Standard deviation of max size of solve for extended hyp (max) ;1.247219128924647;
Standard deviation of min size of solve for extended hyp (avg) ;1.247219128924647;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;1.247219128924647;
Standard deviation of min size of solve for extended hyp (max) ;1.247219128924647;
Product of nb of solve for own context (avg) ;6.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;6;
Product of nb of solve for own context (max) ;6;
Product of total size of solve for own context (avg) ;5184.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;5184;
Product of total size of solve for own context (max) ;5184;
Product of max size of solve for own context (avg) ;1134.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1134;
Product of max size of solve for own context (max) ;1134;
Product of min size of solve for own context (avg) ;729.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;729;
Product of min size of solve for own context (max) ;729;
Max of nb of solve for own context (avg) ;3.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;3;
Max of nb of solve for own context (max) ;3;
Max of total size of solve for own context (avg) ;32.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;32;
Max of total size of solve for own context (max) ;32;
Max of max size of solve for own context (avg) ;14.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;14;
Max of max size of solve for own context (max) ;14;
Max of min size of solve for own context (avg) ;9.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;9;
Max of min size of solve for own context (max) ;9;
Min of nb of solve for own context (avg) ;1.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;1;
Min of nb of solve for own context (max) ;1;
Min of total size of solve for own context (avg) ;9.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;9;
Min of total size of solve for own context (max) ;9;
Min of max size of solve for own context (avg) ;9.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;9;
Min of max size of solve for own context (max) ;9;
Min of min size of solve for own context (avg) ;9.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;9;
Min of min size of solve for own context (max) ;9;
Sum of nb of solve for own context (avg) ;6.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;6;
Sum of nb of solve for own context (max) ;6;
Sum of total size of solve for own context (avg) ;59.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;59;
Sum of total size of solve for own context (max) ;59;
Sum of max size of solve for own context (avg) ;32.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;32;
Sum of max size of solve for own context (max) ;32;
Sum of min size of solve for own context (avg) ;27.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;27;
Sum of min size of solve for own context (max) ;27;
Average of nb of solve for own context (avg) ;2.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;2.0;
Average of nb of solve for own context (max) ;2.0;
Average of total size of solve for own context (avg) ;19.666666666666668;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;19.666666666666668;
Average of total size of solve for own context (max) ;19.666666666666668;
Average of max size of solve for own context (avg) ;10.666666666666666;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;10.666666666666666;
Average of max size of solve for own context (max) ;10.666666666666666;
Average of min size of solve for own context (avg) ;9.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;9.0;
Average of min size of solve for own context (max) ;9.0;
Standard deviation of nb of solve for own context (avg) ;0.816496580927726;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;0.816496580927726;
Standard deviation of nb of solve for own context (max) ;0.816496580927726;
Standard deviation of total size of solve for own context (avg) ;9.463379711052259;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;9.463379711052259;
Standard deviation of total size of solve for own context (max) ;9.463379711052259;
Standard deviation of max size of solve for own context (avg) ;2.357022603955158;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;2.357022603955158;
Standard deviation of max size of solve for own context (max) ;2.357022603955158;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1260.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;1260;
Product of nb of solve for external context (max) ;1260;
Product of total size of solve for external context (avg) ;714476.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;714476;
Product of total size of solve for external context (max) ;714476;
Product of max size of solve for external context (avg) ;8325.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;8325;
Product of max size of solve for external context (max) ;8325;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;18.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;18;
Max of nb of solve for external context (max) ;18;
Max of total size of solve for external context (avg) ;119.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;119;
Max of total size of solve for external context (max) ;119;
Max of max size of solve for external context (avg) ;37.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;37;
Max of max size of solve for external context (max) ;37;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;7.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;7;
Min of nb of solve for external context (max) ;7;
Min of total size of solve for external context (avg) ;76.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;76;
Min of total size of solve for external context (max) ;76;
Min of max size of solve for external context (avg) ;15.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;15;
Min of max size of solve for external context (max) ;15;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;35.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;35;
Sum of nb of solve for external context (max) ;35;
Sum of total size of solve for external context (avg) ;274.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;274;
Sum of total size of solve for external context (max) ;274;
Sum of max size of solve for external context (avg) ;67.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;67;
Sum of max size of solve for external context (max) ;67;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;11.666666666666666;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;11.666666666666666;
Average of nb of solve for external context (max) ;11.666666666666666;
Average of total size of solve for external context (avg) ;91.33333333333333;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;91.33333333333333;
Average of total size of solve for external context (max) ;91.33333333333333;
Average of max size of solve for external context (avg) ;22.333333333333332;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;22.333333333333332;
Average of max size of solve for external context (max) ;22.333333333333332;
Average of min size of solve for external context (avg) ;2.6666666666666665;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;2.6666666666666665;
Standard deviation of nb of solve for external context (avg) ;4.642796092394707;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;4.642796092394707;
Standard deviation of nb of solve for external context (max) ;4.642796092394707;
Standard deviation of total size of solve for external context (avg) ;19.601587237318874;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;19.601587237318874;
Standard deviation of total size of solve for external context (max) ;19.601587237318874;
Standard deviation of max size of solve for external context (avg) ;10.370899457402697;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;10.370899457402697;
Standard deviation of max size of solve for external context (max) ;10.370899457402697;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;0.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;0;
Product of nb of solve for covered manif. (max) ;0;
Product of total size of solve for covered manif. (avg) ;0.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;0;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;-256.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;-256;
Product of max size of solve for covered manif. (max) ;0;
Product of min size of solve for covered manif. (avg) ;-48.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;-48;
Product of min size of solve for covered manif. (max) ;0;
Max of nb of solve for covered manif. (avg) ;4.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;4;
Max of nb of solve for covered manif. (max) ;4;
Max of total size of solve for covered manif. (avg) ;51.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;51;
Max of total size of solve for covered manif. (max) ;51;
Max of max size of solve for covered manif. (avg) ;16.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;16;
Max of max size of solve for covered manif. (max) ;16;
Max of min size of solve for covered manif. (avg) ;16.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;16;
Max of min size of solve for covered manif. (max) ;16;
Min of nb of solve for covered manif. (avg) ;0.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;0;
Min of nb of solve for covered manif. (max) ;0;
Min of total size of solve for covered manif. (avg) ;0.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;0;
Min of total size of solve for covered manif. (max) ;0;
Min of max size of solve for covered manif. (avg) ;-1.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;-1;
Min of max size of solve for covered manif. (max) ;0;
Min of min size of solve for covered manif. (avg) ;-1.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;-1;
Min of min size of solve for covered manif. (max) ;0;
Sum of nb of solve for covered manif. (avg) ;5.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;5;
Sum of nb of solve for covered manif. (max) ;5;
Sum of total size of solve for covered manif. (avg) ;67.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;67;
Sum of total size of solve for covered manif. (max) ;67;
Sum of max size of solve for covered manif. (avg) ;31.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;31;
Sum of max size of solve for covered manif. (max) ;31;
Sum of min size of solve for covered manif. (avg) ;18.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;18;
Sum of min size of solve for covered manif. (max) ;18;
Average of nb of solve for covered manif. (avg) ;1.6666666666666667;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;1.6666666666666667;
Average of nb of solve for covered manif. (max) ;1.6666666666666667;
Average of total size of solve for covered manif. (avg) ;22.333333333333332;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;22.333333333333332;
Average of total size of solve for covered manif. (max) ;22.333333333333332;
Average of max size of solve for covered manif. (avg) ;10.333333333333334;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;10.333333333333334;
Average of max size of solve for covered manif. (max) ;10.333333333333334;
Average of min size of solve for covered manif. (avg) ;6.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;6.0;
Average of min size of solve for covered manif. (max) ;6.0;
Standard deviation of nb of solve for covered manif. (avg) ;1.699673171197595;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;1.699673171197595;
Standard deviation of nb of solve for covered manif. (max) ;1.699673171197595;
Standard deviation of total size of solve for covered manif. (avg) ;21.29684379328438;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;21.29684379328438;
Standard deviation of total size of solve for covered manif. (max) ;21.29684379328438;
Standard deviation of max size of solve for covered manif. (avg) ;8.013876853447538;
Standard deviation of max size of solve for covered manif. (stddev) ;0.0;
