;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Sum of min size of solve for hyp (max) ;18;
Average of nb of solve for hyp (avg) ;3.0;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;3.0;
Average of nb of solve for hyp (max) ;3.0;
Average of total size of solve for hyp (avg) ;25.0;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;25.0;
Average of total size of solve for hyp (max) ;25.0;
Average of max size of solve for hyp (avg) ;12.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;12.0;
Average of max size of solve for hyp (max) ;12.0;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.816496580927726;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.816496580927726;
Standard deviation of nb of solve for hyp (max) ;0.816496580927726;
Standard deviation of total size of solve for hyp (avg) ;8.831760866327848;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;8.831760866327848;
Standard deviation of total size of solve for hyp (max) ;8.831760866327848;
Standard deviation of max size of solve for hyp (avg) ;3.265986323710904;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;3.265986323710904;
Standard deviation of max size of solve for hyp (max) ;3.265986323710904;
Standard deviation of min size of solve for hyp (avg) ;2.160246899469287;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.160246899469287;
Standard deviation of min size of solve for hyp (max) ;2.160246899469287;
Product of nb of solve for extended hyp (avg) ;8.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;8;
Product of nb of solve for extended hyp (max) ;8;
Product of total size of solve for extended hyp (avg) ;16632.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;16632;
Product of total size of solve for extended hyp (max) ;16632;
Product of max size of solve for extended hyp (avg) ;2310.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;2310;
Product of max size of solve for extended hyp (max) ;2310;
Product of min size of solve for extended hyp (avg) ;1848.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1848;
Product of min size of solve for extended hyp (max) ;1848;
Max of nb of solve for extended hyp (avg) ;2.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;2;
Max of nb of solve for extended hyp (max) ;2;
Max of total size of solve for extended hyp (avg) ;28.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;28;
Max of total size of solve for extended hyp (max) ;28;
Max of max size of solve for extended hyp (avg) ;15.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;15;
Max of max size of solve for extended hyp (max) ;15;
Max of min size of solve for extended hyp (avg) ;14.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;14;
Max of min size of solve for extended hyp (max) ;14;
Min of nb of solve for extended hyp (avg) ;2.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;2;
Min of nb of solve for extended hyp (max) ;2;
Min of total size of solve for extended hyp (avg) ;22.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;22;
Min of total size of solve for extended hyp (max) ;22;
Min of max size of solve for extended hyp (avg) ;11.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;11;
Min of max size of solve for extended hyp (max) ;11;
Min of min size of solve for extended hyp (avg) ;11.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;11;
Min of min size of solve for extended hyp (max) ;11;
Sum of nb of solve for extended hyp (avg) ;6.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;6;
Sum of nb of solve for extended hyp (max) ;6;
Sum of total size of solve for extended hyp (avg) ;77.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;77;
Sum of total size of solve for extended hyp (max) ;77;
Sum of max size of solve for extended hyp (avg) ;40.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;40;
Sum of max size of solve for extended hyp (max) ;40;
Sum of min size of solve for extended hyp (avg) ;37.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;37;
Sum of min size of solve for extended hyp (max) ;37;
Average of nb of solve for extended hyp (avg) ;2.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;2.0;
Average of nb of solve for extended hyp (max) ;2.0;
Average of total size of solve for extended hyp (avg) ;25.666666666666668;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;25.666666666666668;
Average of total size of solve for extended hyp (max) ;25.666666666666668;
Average of max size of solve for extended hyp (avg) ;13.333333333333334;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;13.333333333333334;
Average of max size of solve for extended hyp (max) ;13.333333333333334;
Average of min size of solve for extended hyp (avg) ;12.333333333333334;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.333333333333334;
Average of min size of solve for extended hyp (max) ;12.333333333333334;
Standard deviation of nb of solve for extended hyp (avg) ;0.0;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.0;
Standard deviation of nb of solve for extended hyp (max) ;0;
Standard deviation of total size of solve for extended hyp (avg) ;2.6246692913372702;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;2.6246692913372702;
Standard deviation of total size of solve for extended hyp (max) ;2.6246692913372702;
Standard deviation of max size of solve for extended hyp (avg) ;1.699673171197595;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;1.699673171197595;
Standard deviation of max size of solve for extended hyp (max) ;1.699673171197595;
Standard deviation of min size of solve for extended hyp (avg) ;1.247219128924647;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;1.247219128924647;
Standard deviation of min size of solve for extended hyp (max) ;1.247219128924647;
Product of nb of solve for own context (avg) ;1728.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;1728;
Product of nb of solve for own context (max) ;1728;
Product of total size of solve for own context (avg) ;1838962.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;1838962;
Product of total size of solve for own context (max) ;1838962;
Product of max size of solve for own context (avg) ;11988.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;11988;
Product of max size of solve for own context (max) ;11988;
Product of min size of solve for own context (avg) ;64.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;64;
Product of min size of solve for own context (max) ;64;
Max of nb of solve for own context (avg) ;12.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;12;
Max of nb of solve for own context (max) ;12;
Max of total size of solve for own context (avg) ;158.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;158;
Max of total size of solve for own context (max) ;158;
Max of max size of solve for own context (avg) ;37.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;37;
Max of max size of solve for own context (max) ;37;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;12.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;12;
Min of nb of solve for own context (max) ;12;
Min of total size of solve for own context (avg) ;103.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;103;
Min of total size of solve for own context (max) ;103;
Min of max size of solve for own context (avg) ;18.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;18;
Min of max size of solve for own context (max) ;18;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;36.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;36;
Sum of nb of solve for own context (max) ;36;
Sum of total size of solve for own context (avg) ;374.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;374;
Sum of total size of solve for own context (max) ;374;
Sum of max size of solve for own context (avg) ;73.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;73;
Sum of max size of solve for own context (max) ;73;
Sum of min size of solve for own context (avg) ;12.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;12;
Sum of min size of solve for own context (max) ;12;
Average of nb of solve for own context (avg) ;12.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;12.0;
Average of nb of solve for own context (max) ;12.0;
Average of total size of solve for own context (avg) ;124.66666666666667;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;124.66666666666667;
Average of total size of solve for own context (max) ;124.66666666666667;
Average of max size of solve for own context (avg) ;24.333333333333332;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;24.333333333333332;
Average of max size of solve for own context (max) ;24.333333333333332;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;0.0;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;0.0;
Standard deviation of nb of solve for own context (max) ;0;
Standard deviation of total size of solve for own context (avg) ;23.921166824012207;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;23.921166824012207;
Standard deviation of total size of solve for own context (max) ;23.921166824012207;
Standard deviation of max size of solve for own context (avg) ;8.9566858950296;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;8.9566858950296;
Standard deviation of max size of solve for own context (max) ;8.9566858950296;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;11648.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;11648;
Product of nb of solve for external context (max) ;11648;
Product of total size of solve for external context (avg) ;6398460.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;6398460;
Product of total size of solve for external context (max) ;6398460;
Product of max size of solve for external context (avg) ;8325.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;8325;
Product of max size of solve for external context (max) ;8325;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;32.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;32;
Max of nb of solve for external context (max) ;32;
Max of total size of solve for external context (avg) ;205.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;205;
Max of total size of solve for external context (max) ;205;
Max of max size of solve for external context (avg) ;37.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;37;
Max of max size of solve for external context (max) ;37;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;14.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;14;
Min of nb of solve for external context (max) ;14;
Min of total size of solve for external context (avg) ;153.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;153;
Min of total size of solve for external context (max) ;153;
Min of max size of solve for external context (avg) ;15.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;15;
Min of max size of solve for external context (max) ;15;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;72.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;72;
Sum of nb of solve for external context (max) ;72;
Sum of total size of solve for external context (avg) ;562.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;562;
Sum of total size of solve for external context (max) ;562;
Sum of max size of solve for external context (avg) ;67.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;67;
Sum of max size of solve for external context (max) ;67;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;24.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;24.0;
Average of nb of solve for external context (max) ;24.0;
Average of total size of solve for external context (avg) ;187.33333333333334;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;187.33333333333334;
Average of total size of solve for external context (max) ;187.33333333333334;
Average of max size of solve for external context (avg) ;22.333333333333332;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;22.333333333333332;
Average of max size of solve for external context (max) ;22.333333333333332;
Average of min size of solve for external context (avg) ;2.6666666666666665;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;2.6666666666666665;
Standard deviation of nb of solve for external context (avg) ;7.483314773547883;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;7.483314773547883;
Standard deviation of nb of solve for external context (max) ;7.483314773547883;
Standard deviation of total size of solve for external context (avg) ;24.280765135299085;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;24.280765135299085;
Standard deviation of total size of solve for external context (max) ;24.280765135299085;
Standard deviation of max size of solve for external context (avg) ;10.370899457402697;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;10.370899457402697;
Standard deviation of max size of solve for external context (max) ;10.370899457402697;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;175.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;175;
Product of nb of solve for covered manif. (max) ;175;
Product of total size of solve for covered manif. (avg) ;397664.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;397664;
Product of total size of solve for covered manif. (max) ;397664;
Product of max size of solve for covered manif. (avg) ;10000.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;10000;
Product of max size of solve for covered manif. (max) ;10000;
Product of min size of solve for covered manif. (avg) ;27.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;27;
Product of min size of solve for covered manif. (max) ;27;
Max of nb of solve for covered manif. (avg) ;7.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;7;
Max of nb of solve for covered manif. (max) ;7;
Max of total size of solve for covered manif. (avg) ;86.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;86;
Max of total size of solve for covered manif. (max) ;86;
Max of max size of solve for covered manif. (avg) ;25.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;25;
Max of max size of solve for covered manif. (max) ;25;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;5.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;5;
Min of nb of solve for covered manif. (max) ;5;
Min of total size of solve for covered manif. (avg) ;68.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;68;
Min of total size of solve for covered manif. (max) ;68;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;17.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;17;
Sum of nb of solve for covered manif. (max) ;17;
Sum of total size of solve for covered manif. (avg) ;222.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;222;
Sum of total size of solve for covered manif. (max) ;222;
Sum of max size of solve for covered manif. (avg) ;66.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;66;
Sum of max size of solve for covered manif. (max) ;66;
Sum of min size of solve for covered manif. (avg) ;9.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;9;
Sum of min size of solve for covered manif. (max) ;9;
Average of nb of solve for covered manif. (avg) ;5.666666666666667;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;5.666666666666667;
Average of nb of solve for covered manif. (max) ;5.666666666666667;
Average of total size of solve for covered manif. (avg) ;74.0;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;74.0;
Average of total size of solve for covered manif. (max) ;74.0;
Average of max size of solve for covered manif. (avg) ;22.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;22.0;
Average of max size of solve for covered manif. (max) ;22.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;0.9428090415820634;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;0.9428090415820634;
Standard deviation of nb of solve for covered manif. (max) ;0.9428090415820634;
Standard deviation of total size of solve for covered manif. (avg) ;8.48528137423857;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;8.48528137423857;
Standard deviation of total size of solve for covered manif. (max) ;8.48528137423857;
Standard deviation of max size of solve for covered manif. (avg) ;4.242640687119285;
Standard deviation of max size of solve for covered manif. (stddev) ;0.0;
Standard deviation of max size of solve for covered manif. (min) ;4.242640687119285;
Standard deviation of max size of solve for covered manif. (max) ;4.242640687119285;
