;e1_chain8_ECAI_Ligne_8Summ
Nb of {Coherence counter-example} sent (avg) ;6.0;
Total size of {Coherence counter-example} sent (avg) ;13.0;
Global Max size of {New neighbour} received (avg) ;0.0;
Nb of {New neighbour} received (avg) ;14.0;
Total size of {New neighbour} received (avg) ;0.0;
Global Max size of {Start} received (avg) ;0.0;
Nb of {Start} received (avg) ;8.0;
Total size of {Start} received (avg) ;0.0;
Global Max size of {Launch} received (avg) ;0.0;
Nb of {Launch} received (avg) ;-6.0;
Total size of {Launch} received (avg) ;-7.0;
Global Max size of {Accept Request} received (avg) ;10.0;
Nb of {Accept Request} received (avg) ;101.0;
Total size of {Accept Request} received (avg) ;1019.0;
Global Max size of {Confirm context} received (avg) ;87.0;
Nb of {Confirm context} received (avg) ;403.0;
Total size of {Confirm context} received (avg) ;12139.0;
Global Max size of {Deny} received (avg) ;58.0;
Nb of {Deny} received (avg) ;237.0;
Total size of {Deny} received (avg) ;7446.0;
Global Max size of {Propose} received (avg) ;121.0;
Nb of {Propose} received (avg) ;374.0;
Total size of {Propose} received (avg) ;13735.0;
Global Max size of {Acknowledge confirmation} received (avg) ;121.0;
Nb of {Acknowledge confirmation} received (avg) ;290.0;
Total size of {Acknowledge confirmation} received (avg) ;10999.0;
Global Max size of {Withdraw} received (avg) ;2.0;
Nb of {Withdraw} received (avg) ;13.0;
Total size of {Withdraw} received (avg) ;27.0;
Global Max size of {Ask other hypothesis} received (avg) ;7.0;
Nb of {Ask other hypothesis} received (avg) ;55.0;
Total size of {Ask other hypothesis} received (avg) ;366.0;
Global Max size of {Accept} received (avg) ;121.0;
Nb of {Accept} received (avg) ;102.0;
Total size of {Accept} received (avg) ;6464.0;
Global Max size of {End of local conversation} received (avg) ;10.0;
Nb of {End of local conversation} received (avg) ;204.0;
Total size of {End of local conversation} received (avg) ;2040.0;
Global Max size of {Request} received (avg) ;18.0;
Nb of {Request} received (avg) ;102.0;
Total size of {Request} received (avg) ;1836.0;
Global Max size of {Argue} received (avg) ;14.0;
Nb of {Argue} received (avg) ;106.0;
Total size of {Argue} received (avg) ;1458.0;
Global Max size of {Acknowledge} received (avg) ;2.0;
Nb of {Acknowledge} received (avg) ;257.0;
Total size of {Acknowledge} received (avg) ;514.0;
Global Max size of {Check Context} received (avg) ;87.0;
Nb of {Check Context} received (avg) ;265.0;
Total size of {Check Context} received (avg) ;8678.0;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Nb of {Completeness counter-example} received (avg) ;113.0;
Total size of {Completeness counter-example} received (avg) ;791.0;
Global Max size of {Propose again} received (avg) ;32.0;
Nb of {Propose again} received (avg) ;36.0;
Total size of {Propose again} received (avg) ;830.0;
Global Max size of {Finish} received (avg) ;0.0;
Nb of {Finish} received (avg) ;8.0;
Total size of {Finish} received (avg) ;0.0;
