;v0.3.135e10_exEcai-3ag_ECAI_Clique_3All
Standard deviation of nb of solve step (stddev) ;0.0;
Standard deviation of nb of solve step (min) ;6.531972647421808;
Standard deviation of nb of solve step (max) ;6.531972647421808;
Standard deviation of total size of solve step (avg) ;89.27983472704736;
Standard deviation of total size of solve step (stddev) ;1.4210854715202004E-14;
Standard deviation of total size of solve step (min) ;89.27983472704734;
Standard deviation of total size of solve step (max) ;89.27983472704734;
Standard deviation of max size of solve step (avg) ;5.6568542494923815;
Standard deviation of max size of solve step (stddev) ;8.881784197001252E-16;
Standard deviation of max size of solve step (min) ;5.656854249492381;
Standard deviation of max size of solve step (max) ;5.656854249492381;
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;24.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;24;
Product of nb of solve for hyp (max) ;24;
Product of total size of solve for hyp (avg) ;24272.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;24272;
Product of total size of solve for hyp (max) ;24272;
Product of max size of solve for hyp (avg) ;2112.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;2112;
Product of max size of solve for hyp (max) ;2112;
Product of min size of solve for hyp (avg) ;168.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;168;
Product of min size of solve for hyp (max) ;168;
Max of nb of solve for hyp (avg) ;4.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;4;
Max of nb of solve for hyp (max) ;4;
Max of total size of solve for hyp (avg) ;41.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;41;
Max of total size of solve for hyp (max) ;41;
Max of max size of solve for hyp (avg) ;22.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;22;
Max of max size of solve for hyp (max) ;22;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;2.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;2;
Min of nb of solve for hyp (max) ;2;
Min of total size of solve for hyp (avg) ;16.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;16;
Min of total size of solve for hyp (max) ;16;
Min of max size of solve for hyp (avg) ;8.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;8;
Min of max size of solve for hyp (max) ;8;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;9.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;9;
Sum of nb of solve for hyp (max) ;9;
Sum of total size of solve for hyp (avg) ;94.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;94;
Sum of total size of solve for hyp (max) ;94;
Sum of max size of solve for hyp (avg) ;42.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;42;
Sum of max size of solve for hyp (max) ;42;
Sum of min size of solve for hyp (avg) ;18.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;18;
Sum of min size of solve for hyp (max) ;18;
Average of nb of solve for hyp (avg) ;3.0;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;3.0;
Average of nb of solve for hyp (max) ;3.0;
Average of total size of solve for hyp (avg) ;31.333333333333332;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;31.333333333333332;
Average of total size of solve for hyp (max) ;31.333333333333332;
Average of max size of solve for hyp (avg) ;14.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;14.0;
Average of max size of solve for hyp (max) ;14.0;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.816496580927726;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.816496580927726;
Standard deviation of nb of solve for hyp (max) ;0.816496580927726;
Standard deviation of total size of solve for hyp (avg) ;10.964589468932349;
Standard deviation of total size of solve for hyp (stddev) ;1.7763568394002505E-15;
Standard deviation of total size of solve for hyp (min) ;10.96458946893235;
Standard deviation of total size of solve for hyp (max) ;10.96458946893235;
Standard deviation of max size of solve for hyp (avg) ;5.887840577551898;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;5.887840577551898;
Standard deviation of max size of solve for hyp (max) ;5.887840577551898;
Standard deviation of min size of solve for hyp (avg) ;2.1602468994692865;
Standard deviation of min size of solve for hyp (stddev) ;4.440892098500626E-16;
Standard deviation of min size of solve for hyp (min) ;2.160246899469287;
Standard deviation of min size of solve for hyp (max) ;2.160246899469287;
Product of nb of solve for extended hyp (avg) ;4.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;4;
Product of nb of solve for extended hyp (max) ;4;
Product of total size of solve for extended hyp (avg) ;8316.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;8316;
Product of total size of solve for extended hyp (max) ;8316;
Product of max size of solve for extended hyp (avg) ;2310.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;2310;
Product of max size of solve for extended hyp (max) ;2310;
Product of min size of solve for extended hyp (avg) ;1848.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1848;
Product of min size of solve for extended hyp (max) ;1848;
Max of nb of solve for extended hyp (avg) ;2.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;2;
Max of nb of solve for extended hyp (max) ;2;
Max of total size of solve for extended hyp (avg) ;28.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;28;
Max of total size of solve for extended hyp (max) ;28;
Max of max size of solve for extended hyp (avg) ;15.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;15;
Max of max size of solve for extended hyp (max) ;15;
Max of min size of solve for extended hyp (avg) ;14.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;14;
Max of min size of solve for extended hyp (max) ;14;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;11.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;11;
Min of total size of solve for extended hyp (max) ;11;
Min of max size of solve for extended hyp (avg) ;11.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;11;
Min of max size of solve for extended hyp (max) ;11;
Min of min size of solve for extended hyp (avg) ;11.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;11;
Min of min size of solve for extended hyp (max) ;11;
Sum of nb of solve for extended hyp (avg) ;5.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;5;
Sum of nb of solve for extended hyp (max) ;5;
Sum of total size of solve for extended hyp (avg) ;66.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;66;
Sum of total size of solve for extended hyp (max) ;66;
Sum of max size of solve for extended hyp (avg) ;40.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;40;
Sum of max size of solve for extended hyp (max) ;40;
Sum of min size of solve for extended hyp (avg) ;37.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;37;
Sum of min size of solve for extended hyp (max) ;37;
Average of nb of solve for extended hyp (avg) ;1.6666666666666665;
Average of nb of solve for extended hyp (stddev) ;2.220446049250313E-16;
Average of nb of solve for extended hyp (min) ;1.6666666666666667;
Average of nb of solve for extended hyp (max) ;1.6666666666666667;
Average of total size of solve for extended hyp (avg) ;22.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;22.0;
Average of total size of solve for extended hyp (max) ;22.0;
Average of max size of solve for extended hyp (avg) ;13.333333333333332;
Average of max size of solve for extended hyp (stddev) ;1.7763568394002505E-15;
Average of max size of solve for extended hyp (min) ;13.333333333333334;
Average of max size of solve for extended hyp (max) ;13.333333333333334;
Average of min size of solve for extended hyp (avg) ;12.333333333333332;
Average of min size of solve for extended hyp (stddev) ;1.7763568394002505E-15;
Average of min size of solve for extended hyp (min) ;12.333333333333334;
Average of min size of solve for extended hyp (max) ;12.333333333333334;
Standard deviation of nb of solve for extended hyp (avg) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (max) ;0.4714045207910317;
Standard deviation of total size of solve for extended hyp (avg) ;7.788880963698615;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;7.788880963698615;
Standard deviation of total size of solve for extended hyp (max) ;7.788880963698615;
Standard deviation of max size of solve for extended hyp (avg) ;1.699673171197595;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;1.699673171197595;
Standard deviation of max size of solve for extended hyp (max) ;1.699673171197595;
Standard deviation of min size of solve for extended hyp (avg) ;1.2472191289246468;
Standard deviation of min size of solve for extended hyp (stddev) ;2.220446049250313E-16;
Standard deviation of min size of solve for extended hyp (min) ;1.247219128924647;
Standard deviation of min size of solve for extended hyp (max) ;1.247219128924647;
Product of nb of solve for own context (avg) ;3600.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;3600;
Product of nb of solve for own context (max) ;3600;
Product of total size of solve for own context (avg) ;2982468.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;2982468;
Product of total size of solve for own context (max) ;2982468;
Product of max size of solve for own context (avg) ;11988.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;11988;
Product of max size of solve for own context (max) ;11988;
Product of min size of solve for own context (avg) ;64.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;64;
Product of min size of solve for own context (max) ;64;
Max of nb of solve for own context (avg) ;20.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;20;
Max of nb of solve for own context (max) ;20;
Max of total size of solve for own context (avg) ;228.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;228;
Max of total size of solve for own context (max) ;228;
Max of max size of solve for own context (avg) ;37.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;37;
Max of max size of solve for own context (max) ;37;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;12.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;12;
Min of nb of solve for own context (max) ;12;
Min of total size of solve for own context (avg) ;103.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;103;
Min of total size of solve for own context (max) ;103;
Min of max size of solve for own context (avg) ;18.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;18;
Min of max size of solve for own context (max) ;18;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;47.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;47;
Sum of nb of solve for own context (max) ;47;
Sum of total size of solve for own context (avg) ;458.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;458;
Sum of total size of solve for own context (max) ;458;
Sum of max size of solve for own context (avg) ;73.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;73;
Sum of max size of solve for own context (max) ;73;
Sum of min size of solve for own context (avg) ;12.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;12;
Sum of min size of solve for own context (max) ;12;
Average of nb of solve for own context (avg) ;15.666666666666666;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;15.666666666666666;
Average of nb of solve for own context (max) ;15.666666666666666;
Average of total size of solve for own context (avg) ;152.66666666666669;
Average of total size of solve for own context (stddev) ;2.8421709430404007E-14;
Average of total size of solve for own context (min) ;152.66666666666666;
Average of total size of solve for own context (max) ;152.66666666666666;
Average of max size of solve for own context (avg) ;24.333333333333336;
Average of max size of solve for own context (stddev) ;3.552713678800501E-15;
Average of max size of solve for own context (min) ;24.333333333333332;
Average of max size of solve for own context (max) ;24.333333333333332;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;3.299831645537222;
Standard deviation of nb of solve for own context (stddev) ;4.440892098500626E-16;
Standard deviation of nb of solve for own context (min) ;3.2998316455372216;
Standard deviation of nb of solve for own context (max) ;3.2998316455372216;
Standard deviation of total size of solve for own context (avg) ;54.162307516902885;
Standard deviation of total size of solve for own context (stddev) ;7.105427357601002E-15;
Standard deviation of total size of solve for own context (min) ;54.16230751690289;
Standard deviation of total size of solve for own context (max) ;54.16230751690289;
Standard deviation of max size of solve for own context (avg) ;8.956685895029603;
Standard deviation of max size of solve for own context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for own context (min) ;8.9566858950296;
Standard deviation of max size of solve for own context (max) ;8.9566858950296;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;14880.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;14880;
Product of nb of solve for external context (max) ;14880;
Product of total size of solve for external context (avg) ;7216850.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;7216850;
Product of total size of solve for external context (max) ;7216850;
Product of max size of solve for external context (avg) ;8325.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;8325;
Product of max size of solve for external context (max) ;8325;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;31.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;31;
Max of nb of solve for external context (max) ;31;
Max of total size of solve for external context (avg) ;235.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;235;
Max of total size of solve for external context (max) ;235;
Max of max size of solve for external context (avg) ;37.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;37;
Max of max size of solve for external context (max) ;37;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;16.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;16;
Min of nb of solve for external context (max) ;16;
Min of total size of solve for external context (avg) ;166.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;166;
Min of total size of solve for external context (max) ;166;
Min of max size of solve for external context (avg) ;15.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;15;
Min of max size of solve for external context (max) ;15;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;77.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;77;
Sum of nb of solve for external context (max) ;77;
Sum of total size of solve for external context (avg) ;586.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;586;
Sum of total size of solve for external context (max) ;586;
Sum of max size of solve for external context (avg) ;67.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;67;
Sum of max size of solve for external context (max) ;67;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;25.666666666666664;
Average of nb of solve for external context (stddev) ;3.552713678800501E-15;
Average of nb of solve for external context (min) ;25.666666666666668;
Average of nb of solve for external context (max) ;25.666666666666668;
Average of total size of solve for external context (avg) ;195.33333333333331;
Average of total size of solve for external context (stddev) ;2.8421709430404007E-14;
Average of total size of solve for external context (min) ;195.33333333333334;
Average of total size of solve for external context (max) ;195.33333333333334;
Average of max size of solve for external context (avg) ;22.333333333333336;
Average of max size of solve for external context (stddev) ;3.552713678800501E-15;
Average of max size of solve for external context (min) ;22.333333333333332;
Average of max size of solve for external context (max) ;22.333333333333332;
Average of min size of solve for external context (avg) ;2.666666666666667;
Average of min size of solve for external context (stddev) ;4.440892098500626E-16;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;2.6666666666666665;
Standard deviation of nb of solve for external context (avg) ;6.847546194724712;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;6.847546194724712;
Standard deviation of nb of solve for external context (max) ;6.847546194724712;
Standard deviation of total size of solve for external context (avg) ;29.101355447622858;
Standard deviation of total size of solve for external context (stddev) ;3.552713678800501E-15;
Standard deviation of total size of solve for external context (min) ;29.10135544762286;
Standard deviation of total size of solve for external context (max) ;29.10135544762286;
Standard deviation of max size of solve for external context (avg) ;10.370899457402698;
Standard deviation of max size of solve for external context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for external context (min) ;10.370899457402697;
Standard deviation of max size of solve for external context (max) ;10.370899457402697;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;216.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;216;
Product of nb of solve for covered manif. (max) ;216;
Product of total size of solve for covered manif. (avg) ;493920.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;493920;
Product of total size of solve for covered manif. (max) ;493920;
Product of max size of solve for covered manif. (avg) ;10000.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;10000;
Product of max size of solve for covered manif. (max) ;10000;
Product of min size of solve for covered manif. (avg) ;27.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;27;
Product of min size of solve for covered manif. (max) ;27;
Max of nb of solve for covered manif. (avg) ;6.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;6;
Max of nb of solve for covered manif. (max) ;6;
Max of total size of solve for covered manif. (avg) ;84.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;84;
Max of total size of solve for covered manif. (max) ;84;
Max of max size of solve for covered manif. (avg) ;25.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;25;
Max of max size of solve for covered manif. (max) ;25;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;6.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;6;
Min of nb of solve for covered manif. (max) ;6;
Min of total size of solve for covered manif. (avg) ;70.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;70;
Min of total size of solve for covered manif. (max) ;70;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;18.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;18;
Sum of nb of solve for covered manif. (max) ;18;
Sum of total size of solve for covered manif. (avg) ;238.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;238;
Sum of total size of solve for covered manif. (max) ;238;
Sum of max size of solve for covered manif. (avg) ;66.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;66;
Sum of max size of solve for covered manif. (max) ;66;
Sum of min size of solve for covered manif. (avg) ;9.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;9;
Sum of min size of solve for covered manif. (max) ;9;
Average of nb of solve for covered manif. (avg) ;6.0;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;6.0;
Average of nb of solve for covered manif. (max) ;6.0;
Average of total size of solve for covered manif. (avg) ;79.33333333333334;
Average of total size of solve for covered manif. (stddev) ;1.4210854715202004E-14;
Average of total size of solve for covered manif. (min) ;79.33333333333333;
Average of total size of solve for covered manif. (max) ;79.33333333333333;
Average of max size of solve for covered manif. (avg) ;22.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;22.0;
Average of max size of solve for covered manif. (max) ;22.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;0.0;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;0.0;
Standard deviation of nb of solve for covered manif. (max) ;0;
Standard deviation of total size of solve for covered manif. (avg) ;6.599663291074444;
