;v0.3.136e1_DAREschedule_ECAI-CL_DARE_8All
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;3125.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;3125;
Product of nb of solve for hyp (max) ;3125;
Product of total size of solve for hyp (avg) ;1.6512840504E10;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;16512840504;
Product of total size of solve for hyp (max) ;16512840504;
Product of max size of solve for hyp (avg) ;3.8723328E7;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;38723328;
Product of max size of solve for hyp (max) ;38723328;
Product of min size of solve for hyp (avg) ;17496.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;17496;
Product of min size of solve for hyp (max) ;17496;
Max of nb of solve for hyp (avg) ;5.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;5;
Max of nb of solve for hyp (max) ;5;
Max of total size of solve for hyp (avg) ;47.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;47;
Max of total size of solve for hyp (max) ;47;
Max of max size of solve for hyp (avg) ;14.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;14;
Max of max size of solve for hyp (max) ;14;
Max of min size of solve for hyp (avg) ;8.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;8;
Max of min size of solve for hyp (max) ;8;
Min of nb of solve for hyp (avg) ;1.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;1;
Min of nb of solve for hyp (max) ;1;
Min of total size of solve for hyp (avg) ;3.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;3;
Min of total size of solve for hyp (max) ;3;
Min of max size of solve for hyp (avg) ;3.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;3;
Min of max size of solve for hyp (max) ;3;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;28.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;28;
Sum of nb of solve for hyp (max) ;28;
Sum of total size of solve for hyp (avg) ;249.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;249;
Sum of total size of solve for hyp (max) ;249;
Sum of max size of solve for hyp (avg) ;84.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;84;
Sum of max size of solve for hyp (max) ;84;
Sum of min size of solve for hyp (avg) ;29.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;29;
Sum of min size of solve for hyp (max) ;29;
Average of nb of solve for hyp (avg) ;3.5;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;3.5;
Average of nb of solve for hyp (max) ;3.5;
Average of total size of solve for hyp (avg) ;31.125;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;31.125;
Average of total size of solve for hyp (max) ;31.125;
Average of max size of solve for hyp (avg) ;10.5;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;10.5;
Average of max size of solve for hyp (max) ;10.5;
Average of min size of solve for hyp (avg) ;3.625;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.625;
Average of min size of solve for hyp (max) ;3.625;
Standard deviation of nb of solve for hyp (avg) ;1.9364916731037085;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;1.9364916731037085;
Standard deviation of nb of solve for hyp (max) ;1.9364916731037085;
Standard deviation of total size of solve for hyp (avg) ;20.545300557548433;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;20.545300557548433;
Standard deviation of total size of solve for hyp (max) ;20.545300557548433;
Standard deviation of max size of solve for hyp (avg) ;4.743416490252569;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;4.743416490252569;
Standard deviation of max size of solve for hyp (max) ;4.743416490252569;
Standard deviation of min size of solve for hyp (avg) ;1.653594569415369;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;1.653594569415369;
Standard deviation of min size of solve for hyp (max) ;1.653594569415369;
Product of nb of solve for extended hyp (avg) ;3125.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;3125;
Product of nb of solve for extended hyp (max) ;3125;
Product of total size of solve for extended hyp (avg) ;3.665358084375E12;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;3665358084375;
Product of total size of solve for extended hyp (max) ;3665358084375;
Product of max size of solve for extended hyp (avg) ;4.485328263E9;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;4485328263;
Product of max size of solve for extended hyp (max) ;4485328263;
Product of min size of solve for extended hyp (avg) ;1.86535791E8;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;186535791;
Product of min size of solve for extended hyp (max) ;186535791;
Max of nb of solve for extended hyp (avg) ;5.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;5;
Max of nb of solve for extended hyp (max) ;5;
Max of total size of solve for extended hyp (avg) ;65.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;65;
Max of total size of solve for extended hyp (max) ;65;
Max of max size of solve for extended hyp (avg) ;39.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;39;
Max of max size of solve for extended hyp (max) ;39;
Max of min size of solve for extended hyp (avg) ;39.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;39;
Max of min size of solve for extended hyp (max) ;39;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;9.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;9;
Min of total size of solve for extended hyp (max) ;9;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;28.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;28;
Sum of nb of solve for extended hyp (max) ;28;
Sum of total size of solve for extended hyp (avg) ;382.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;382;
Sum of total size of solve for extended hyp (max) ;382;
Sum of max size of solve for extended hyp (avg) ;142.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;142;
Sum of max size of solve for extended hyp (max) ;142;
Sum of min size of solve for extended hyp (avg) ;102.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;102;
Sum of min size of solve for extended hyp (max) ;102;
Average of nb of solve for extended hyp (avg) ;3.5;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;3.5;
Average of nb of solve for extended hyp (max) ;3.5;
Average of total size of solve for extended hyp (avg) ;47.75;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;47.75;
Average of total size of solve for extended hyp (max) ;47.75;
Average of max size of solve for extended hyp (avg) ;17.75;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;17.75;
Average of max size of solve for extended hyp (max) ;17.75;
Average of min size of solve for extended hyp (avg) ;12.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.75;
Average of min size of solve for extended hyp (max) ;12.75;
Standard deviation of nb of solve for extended hyp (avg) ;1.9364916731037085;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;1.9364916731037085;
Standard deviation of nb of solve for extended hyp (max) ;1.9364916731037085;
Standard deviation of total size of solve for extended hyp (avg) ;23.894298483110987;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;23.894298483110987;
Standard deviation of total size of solve for extended hyp (max) ;23.894298483110987;
Standard deviation of max size of solve for extended hyp (avg) ;8.714212528966687;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;8.714212528966687;
Standard deviation of max size of solve for extended hyp (max) ;8.714212528966687;
Standard deviation of min size of solve for extended hyp (avg) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (max) ;9.921567416492215;
Product of nb of solve for own context (avg) ;3276.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;3276;
Product of nb of solve for own context (max) ;3276;
Product of total size of solve for own context (avg) ;9.5730794496E10;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;95730794496;
Product of total size of solve for own context (max) ;95730794496;
Product of max size of solve for own context (avg) ;3.5651584E7;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;35651584;
Product of max size of solve for own context (max) ;35651584;
Product of min size of solve for own context (avg) ;1.6777216E7;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;16777216;
Product of min size of solve for own context (max) ;16777216;
Max of nb of solve for own context (avg) ;91.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;91;
Max of nb of solve for own context (max) ;91;
Max of total size of solve for own context (avg) ;1268.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;1268;
Max of total size of solve for own context (max) ;1268;
Max of max size of solve for own context (avg) ;17.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;17;
Max of max size of solve for own context (max) ;17;
Max of min size of solve for own context (avg) ;8.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;8;
Max of min size of solve for own context (max) ;8;
Min of nb of solve for own context (avg) ;1.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;1;
Min of nb of solve for own context (max) ;1;
Min of total size of solve for own context (avg) ;8.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;8;
Min of total size of solve for own context (max) ;8;
Min of max size of solve for own context (avg) ;8.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;8;
Min of max size of solve for own context (max) ;8;
Min of min size of solve for own context (avg) ;8.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;8;
Min of min size of solve for own context (max) ;8;
Sum of nb of solve for own context (avg) ;104.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;104;
Sum of nb of solve for own context (max) ;104;
Sum of total size of solve for own context (avg) ;1372.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;1372;
Sum of total size of solve for own context (max) ;1372;
Sum of max size of solve for own context (avg) ;73.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;73;
Sum of max size of solve for own context (max) ;73;
Sum of min size of solve for own context (avg) ;64.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;64;
Sum of min size of solve for own context (max) ;64;
Average of nb of solve for own context (avg) ;13.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;13.0;
Average of nb of solve for own context (max) ;13.0;
Average of total size of solve for own context (avg) ;171.5;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;171.5;
Average of total size of solve for own context (max) ;171.5;
Average of max size of solve for own context (avg) ;9.125;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;9.125;
Average of max size of solve for own context (max) ;9.125;
Average of min size of solve for own context (avg) ;8.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;8.0;
Average of min size of solve for own context (max) ;8.0;
Standard deviation of nb of solve for own context (avg) ;29.491524206117255;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;29.491524206117255;
Standard deviation of nb of solve for own context (max) ;29.491524206117255;
Standard deviation of total size of solve for own context (avg) ;414.4849213180137;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;414.4849213180137;
Standard deviation of total size of solve for own context (max) ;414.4849213180137;
Standard deviation of max size of solve for own context (avg) ;2.9764702249476644;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;2.9764702249476644;
Standard deviation of max size of solve for own context (max) ;2.9764702249476644;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for prove manif (avg) ;0.0;
Product of nb of solve for prove manif (stddev) ;0.0;
Product of nb of solve for prove manif (min) ;0;
Product of nb of solve for prove manif (max) ;0;
Product of total size of solve for prove manif (avg) ;0.0;
Product of total size of solve for prove manif (stddev) ;0.0;
Product of total size of solve for prove manif (min) ;0;
Product of total size of solve for prove manif (max) ;0;
Product of max size of solve for prove manif (avg) ;-34.0;
Product of max size of solve for prove manif (stddev) ;0.0;
Product of max size of solve for prove manif (min) ;-34;
Product of max size of solve for prove manif (max) ;0;
Product of min size of solve for prove manif (avg) ;-26.0;
Product of min size of solve for prove manif (stddev) ;0.0;
Product of min size of solve for prove manif (min) ;-26;
Product of min size of solve for prove manif (max) ;0;
Max of nb of solve for prove manif (avg) ;80.0;
Max of nb of solve for prove manif (stddev) ;0.0;
Max of nb of solve for prove manif (min) ;80;
Max of nb of solve for prove manif (max) ;80;
Max of total size of solve for prove manif (avg) ;2400.0;
Max of total size of solve for prove manif (stddev) ;0.0;
Max of total size of solve for prove manif (min) ;2400;
Max of total size of solve for prove manif (max) ;2400;
Max of max size of solve for prove manif (avg) ;34.0;
Max of max size of solve for prove manif (stddev) ;0.0;
Max of max size of solve for prove manif (min) ;34;
Max of max size of solve for prove manif (max) ;34;
Max of min size of solve for prove manif (avg) ;26.0;
Max of min size of solve for prove manif (stddev) ;0.0;
Max of min size of solve for prove manif (min) ;26;
Max of min size of solve for prove manif (max) ;26;
Min of nb of solve for prove manif (avg) ;0.0;
Min of nb of solve for prove manif (stddev) ;0.0;
Min of nb of solve for prove manif (min) ;0;
Min of nb of solve for prove manif (max) ;0;
Min of total size of solve for prove manif (avg) ;0.0;
Min of total size of solve for prove manif (stddev) ;0.0;
Min of total size of solve for prove manif (min) ;0;
Min of total size of solve for prove manif (max) ;0;
Min of max size of solve for prove manif (avg) ;-1.0;
Min of max size of solve for prove manif (stddev) ;0.0;
Min of max size of solve for prove manif (min) ;-1;
Min of max size of solve for prove manif (max) ;0;
Min of min size of solve for prove manif (avg) ;-1.0;
Min of min size of solve for prove manif (stddev) ;0.0;
Min of min size of solve for prove manif (min) ;-1;
Min of min size of solve for prove manif (max) ;0;
Sum of nb of solve for prove manif (avg) ;80.0;
Sum of nb of solve for prove manif (stddev) ;0.0;
Sum of nb of solve for prove manif (min) ;80;
Sum of nb of solve for prove manif (max) ;80;
Sum of total size of solve for prove manif (avg) ;2400.0;
Sum of total size of solve for prove manif (stddev) ;0.0;
Sum of total size of solve for prove manif (min) ;2400;
Sum of total size of solve for prove manif (max) ;2400;
Sum of max size of solve for prove manif (avg) ;27.0;
Sum of max size of solve for prove manif (stddev) ;0.0;
Sum of max size of solve for prove manif (min) ;27;
Sum of max size of solve for prove manif (max) ;27;
Sum of min size of solve for prove manif (avg) ;19.0;
Sum of min size of solve for prove manif (stddev) ;0.0;
Sum of min size of solve for prove manif (min) ;19;
Sum of min size of solve for prove manif (max) ;19;
Average of nb of solve for prove manif (avg) ;10.0;
Average of nb of solve for prove manif (stddev) ;0.0;
Average of nb of solve for prove manif (min) ;10.0;
Average of nb of solve for prove manif (max) ;10.0;
Average of total size of solve for prove manif (avg) ;300.0;
Average of total size of solve for prove manif (stddev) ;0.0;
Average of total size of solve for prove manif (min) ;300.0;
Average of total size of solve for prove manif (max) ;300.0;
Average of max size of solve for prove manif (avg) ;3.375;
Average of max size of solve for prove manif (stddev) ;0.0;
Average of max size of solve for prove manif (min) ;3.375;
Average of max size of solve for prove manif (max) ;3.375;
Average of min size of solve for prove manif (avg) ;2.375;
Average of min size of solve for prove manif (stddev) ;0.0;
Average of min size of solve for prove manif (min) ;2.375;
Average of min size of solve for prove manif (max) ;2.375;
Standard deviation of nb of solve for prove manif (avg) ;26.457513110645905;
Standard deviation of nb of solve for prove manif (stddev) ;0.0;
Standard deviation of nb of solve for prove manif (min) ;26.457513110645905;
Standard deviation of nb of solve for prove manif (max) ;26.457513110645905;
Standard deviation of total size of solve for prove manif (avg) ;793.7253933193772;
Standard deviation of total size of solve for prove manif (stddev) ;0.0;
Standard deviation of total size of solve for prove manif (min) ;793.7253933193772;
Standard deviation of total size of solve for prove manif (max) ;793.7253933193772;
Standard deviation of max size of solve for prove manif (avg) ;11.575161985907584;
Standard deviation of max size of solve for prove manif (stddev) ;0.0;
Standard deviation of max size of solve for prove manif (min) ;11.575161985907584;
Standard deviation of max size of solve for prove manif (max) ;11.575161985907584;
Standard deviation of min size of solve for prove manif (avg) ;8.929410674842993;
Standard deviation of min size of solve for prove manif (stddev) ;0.0;
Standard deviation of min size of solve for prove manif (min) ;8.929410674842993;
Standard deviation of min size of solve for prove manif (max) ;8.929410674842993;
Product of nb of solve for extended hyp (nc) (avg) ;53125.0;
Product of nb of solve for extended hyp (nc) (stddev) ;0.0;
Product of nb of solve for extended hyp (nc) (min) ;53125;
Product of nb of solve for extended hyp (nc) (max) ;53125;
Product of total size of solve for extended hyp (nc) (avg) ;8.95303125E8;
Product of total size of solve for extended hyp (nc) (stddev) ;0.0;
Product of total size of solve for extended hyp (nc) (min) ;895303125;
Product of total size of solve for extended hyp (nc) (max) ;895303125;
Product of max size of solve for extended hyp (nc) (avg) ;17496.0;
Product of max size of solve for extended hyp (nc) (stddev) ;0.0;
Product of max size of solve for extended hyp (nc) (min) ;17496;
Product of max size of solve for extended hyp (nc) (max) ;17496;
Product of min size of solve for extended hyp (nc) (avg) ;6561.0;
Product of min size of solve for extended hyp (nc) (stddev) ;0.0;
Product of min size of solve for extended hyp (nc) (min) ;6561;
Product of min size of solve for extended hyp (nc) (max) ;6561;
Max of nb of solve for extended hyp (nc) (avg) ;17.0;
Max of nb of solve for extended hyp (nc) (stddev) ;0.0;
Max of nb of solve for extended hyp (nc) (min) ;17;
Max of nb of solve for extended hyp (nc) (max) ;17;
Max of total size of solve for extended hyp (nc) (avg) ;131.0;
Max of total size of solve for extended hyp (nc) (stddev) ;0.0;
Max of total size of solve for extended hyp (nc) (min) ;131;
Max of total size of solve for extended hyp (nc) (max) ;131;
Max of max size of solve for extended hyp (nc) (avg) ;8.0;
Max of max size of solve for extended hyp (nc) (stddev) ;0.0;
Max of max size of solve for extended hyp (nc) (min) ;8;
Max of max size of solve for extended hyp (nc) (max) ;8;
Max of min size of solve for extended hyp (nc) (avg) ;3.0;
Max of min size of solve for extended hyp (nc) (stddev) ;0.0;
Max of min size of solve for extended hyp (nc) (min) ;3;
Max of min size of solve for extended hyp (nc) (max) ;3;
Min of nb of solve for extended hyp (nc) (avg) ;1.0;
Min of nb of solve for extended hyp (nc) (stddev) ;0.0;
Min of nb of solve for extended hyp (nc) (min) ;1;
Min of nb of solve for extended hyp (nc) (max) ;1;
Min of total size of solve for extended hyp (nc) (avg) ;3.0;
Min of total size of solve for extended hyp (nc) (stddev) ;0.0;
Min of total size of solve for extended hyp (nc) (min) ;3;
Min of total size of solve for extended hyp (nc) (max) ;3;
Min of max size of solve for extended hyp (nc) (avg) ;3.0;
Min of max size of solve for extended hyp (nc) (stddev) ;0.0;
Min of max size of solve for extended hyp (nc) (min) ;3;
Min of max size of solve for extended hyp (nc) (max) ;3;
Min of min size of solve for extended hyp (nc) (avg) ;3.0;
Min of min size of solve for extended hyp (nc) (stddev) ;0.0;
Min of min size of solve for extended hyp (nc) (min) ;3;
Min of min size of solve for extended hyp (nc) (max) ;3;
Sum of nb of solve for extended hyp (nc) (avg) ;44.0;
Sum of nb of solve for extended hyp (nc) (stddev) ;0.0;
Sum of nb of solve for extended hyp (nc) (min) ;44;
Sum of nb of solve for extended hyp (nc) (max) ;44;
Sum of total size of solve for extended hyp (nc) (avg) ;212.0;
Sum of total size of solve for extended hyp (nc) (stddev) ;0.0;
Sum of total size of solve for extended hyp (nc) (min) ;212;
Sum of total size of solve for extended hyp (nc) (max) ;212;
Sum of max size of solve for extended hyp (nc) (avg) ;29.0;
Sum of max size of solve for extended hyp (nc) (stddev) ;0.0;
Sum of max size of solve for extended hyp (nc) (min) ;29;
Sum of max size of solve for extended hyp (nc) (max) ;29;
Sum of min size of solve for extended hyp (nc) (avg) ;24.0;
Sum of min size of solve for extended hyp (nc) (stddev) ;0.0;
Sum of min size of solve for extended hyp (nc) (min) ;24;
Sum of min size of solve for extended hyp (nc) (max) ;24;
Average of nb of solve for extended hyp (nc) (avg) ;5.5;
Average of nb of solve for extended hyp (nc) (stddev) ;0.0;
Average of nb of solve for extended hyp (nc) (min) ;5.5;
Average of nb of solve for extended hyp (nc) (max) ;5.5;
Average of total size of solve for extended hyp (nc) (avg) ;26.5;
Average of total size of solve for extended hyp (nc) (stddev) ;0.0;
Average of total size of solve for extended hyp (nc) (min) ;26.5;
Average of total size of solve for extended hyp (nc) (max) ;26.5;
Average of max size of solve for extended hyp (nc) (avg) ;3.625;
Average of max size of solve for extended hyp (nc) (stddev) ;0.0;
