infile_path,infile,outfile,var,verbose,timeout,method,numagent,dist,csq,csq_mono
Problems/Bio/,glucolysis_TPnaiveshortdist_per10_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,_max-2_ld-1--1,True,25000,DICF-PB-Star,2,_kmet2,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per10_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1,_max-2_ld-1--1,True,25000,DICF-PB-Token-FixedOrder-0-1,2,_kmet2,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per10_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,_max-2_ld-1--1,True,25000,DICF-PB-Async,4,_kmet4,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per10_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,_max-2_ld-1--1,True,25000,DICF-PB-Star,4,_kmet4,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per10_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1-2-3,_max-2_ld-1--1,True,25000,DICF-PB-Token-FixedOrder-0-1-2-3,4,_kmet4,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1-2-3,Problems/Bio/glucolysis_TPnaiveshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per5_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,_max-2_ld-1--1,True,25000,DICF-PB-Async,2,_kmet2,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per5_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,_max-2_ld-1--1,True,25000,DICF-PB-Star,2,_kmet2,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per5_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-1-0,_max-2_ld-1--1,True,25000,DICF-PB-Token-FixedOrder-1-0,2,_kmet2,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-1-0,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per5_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,_max-2_ld-1--1,True,25000,DICF-PB-Async,4,_kmet4,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per5_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,_max-2_ld-1--1,True,25000,DICF-PB-Star,4,_kmet4,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_TPnaiveshortdist_per5_seuil1,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1-2-3,_max-2_ld-1--1,True,25000,DICF-PB-Token-FixedOrder-0-1-2-3,4,_kmet4,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1-2-3,Problems/Bio/glucolysis_TPnaiveshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet2_TPuniformshortdist_per10_seuil1,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,_max-2_ld-1--1,True,25000,DICF-PB-Async,2,_kmet2,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet2_TPuniformshortdist_per10_seuil1,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,_max-2_ld-1--1,True,25000,DICF-PB-Star,2,_kmet2,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet2_TPuniformshortdist_per10_seuil1,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1,_max-2_ld-1--1,True,25000,DICF-PB-Token-FixedOrder-0-1,2,_kmet2,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1,Problems/Bio/glucolysis_kmet2_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet4_TPuniformshortdist_per5_seuil1,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,_max-2_ld-1--1,True,25000,DICF-PB-Async,4,_kmet4,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet4_TPuniformshortdist_per5_seuil1,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,_max-2_ld-1--1,True,25000,DICF-PB-Star,4,_kmet4,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet4_TPuniformshortdist_per5_seuil1,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1-2-3,_max-2_ld-1--1,True,25000,DICF-PB-Token-FixedOrder-0-1-2-3,4,_kmet4,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-0-1-2-3,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per5_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet4_TPuniformshortdist_per10_seuil1,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,_max-2_ld-1--1,True,25000,DICF-PB-Async,4,_kmet4,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Async,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet4_TPuniformshortdist_per10_seuil1,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,_max-2_ld-1--1,True,25000,DICF-PB-Star,4,_kmet4,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Star,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MONO
Problems/Bio/,glucolysis_kmet4_TPuniformshortdist_per10_seuil1,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-1-2-3-0,_max-2_ld-1--1,True,25000,DICF-PB-Token-FixedOrder-1-2-3-0,4,_kmet4,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MULTI_DICF-PB-Token-FixedOrder-1-2-3-0,Problems/Bio/glucolysis_kmet4_TPuniformshortdist_per10_seuil1_max-2_ld-1--1_MONO
